Symbol,Name,Abbr
DEXUSEU,Austria,EUR
DEXUSEU,Belgium,EUR
DEXUSEU,Cyprus,EUR
DEXUSEU,Estonia,EUR
DEXUSEU,Finland,EUR
DEXUSEU,France,EUR
DEXUSEU,Germany,EUR
DEXUSEU,Greece,EUR
DEXUSEU,Ireland,EUR
DEXUSEU,Italy,EUR
DEXUSEU,Latvia,EUR
DEXUSEU,Lithuania,EUR
DEXUSEU,Luxembourg,EUR
DEXUSEU,Malta,EUR
DEXUSEU,Netherlands,EUR
DEXUSEU,Portugal,EUR
DEXUSEU,Slovakia,EUR
DEXUSEU,Slovenia,EUR
DEXUSEU,Spain,EUR
DEXUSAL,Australian Dollar,AUD
DEXBZUS,Brazilian Real,BRL
DEXCAUS,Canadian Dollar,CAD
DEXCHUS,Chinese Yuan,CNY
DEXDNUS,Denmark Krone,DKK
DEXHKUS,Hong Kong Dollar,HKD
DEXINUS,Indian Rupee,INR
DEXJPUS,Japanese Yen,JPY
DEXMAUS,Malaysian Ringgit,MYR
DEXMXUS,Mexican Peso,MXN
DEXUSNZ,New Zealand Dollar,NZD
DEXNOUS,Norway Krone,NOK
DEXSFUS,S. Africa Rand,ZAR
DEXKOUS,S. Korean Won,KRW
DEXSIUS,Singapore Dollar,SGD
DEXSLUS,Sri Lankan Rupees,LKR
DEXSDUS,Swedish Krona,SEK
DEXSZUS,Swiss Franc,CHF
DEXUSUK,Uk Pound,GBP
DEXVZUS,Venezuela Bolivar,VEF